Debug results for cursor_motion:

Time (wall clock):
       Value     Percentile TotalCount 1/(1-Percentile)
165281791.000 0.943750000000         59          17.78
165281791.000 0.950000000000         59          20.00
167510015.000 0.956250000000         60          22.86
167510015.000 0.962500000000         60          26.67
168165375.000 0.968750000000         61          32.00
168165375.000 0.971875000000         61          35.56
168165375.000 0.975000000000         61          40.00
168165375.000 0.978125000000         61          45.71
168165375.000 0.981250000000         61          53.33
168951807.000 0.984375000000         62          64.00
168951807.000 1.000000000000         62
#[Mean    = 159057986.065, StdDeviation   =  3112386.207]
#[Max     = 168951807.000, Total count    =           62]
#[Buckets =           20, SubBuckets     =         2048]



100% [------------------------------------------------------------] ETA: 00:00:00 | :scrolling_fullscreen
Debug results for scrolling_fullscreen:

Time (wall clock):
       Value     Percentile TotalCount 1/(1-Percentile)

 2805759.000 0.000000000000          1           1.00
 2871295.000 0.100000000000         82           1.11
 2887679.000 0.200000000000        166           1.25
 2906111.000 0.300000000000        240           1.43
 2928639.000 0.400000000000        316           1.67
 2955263.000 0.500000000000        394           2.00
 2971647.000 0.550000000000        438           2.22
 2985983.000 0.600000000000        479           2.50
 3002367.000 0.650000000000        518           2.86
 3020799.000 0.700000000000        556           3.33
 3041279.000 0.750000000000        591           4.00
 3051519.000 0.775000000000        613           4.44
 3061759.000 0.800000000000        631           5.00
 3078143.000 0.825000000000        651           5.71
 3096575.000 0.850000000000        674           6.67
 3115007.000 0.875000000000        690           8.00
 3125247.000 0.887500000000        700           8.89
 3137535.000 0.900000000000        710          10.00
 3155967.000 0.912500000000        721          11.43
 3172351.000 0.925000000000        733          13.33
 3182591.000 0.937500000000        740          16.00
 3188735.000 0.943750000000        744          17.78
 3198975.000 0.950000000000        750          20.00
 3203071.000 0.956250000000        754          22.86
 3215359.000 0.962500000000        759          26.67
 3221503.000 0.968750000000        764          32.00
 3225599.000 0.971875000000        768          35.56
 3229695.000 0.975000000000        769          40.00
 3231743.000 0.978125000000        771          45.71
 3239935.000 0.981250000000        775          53.33
 3241983.000 0.984375000000        776          64.00
 3248127.000 0.985937500000        777          71.11
 3280895.000 0.987500000000        779          80.00
 3289087.000 0.989062500000        780          91.43
 3291135.000 0.990625000000        781         106.67
 3307519.000 0.992187500000        782         128.00
 3309567.000 0.992968750000        783         142.22
 3334143.000 0.993750000000        784         160.00
